"Source Column","Matrixify Column / Handling","Action","Notes"
"Order Reference","Name, Source Identifier, Odoo Order Reference","Renamed + Copied","Used as the Shopify order key and preserved in audit columns."
"Customer","Additional Details, Odoo Customer","Copied to audit/detail","Not forced into Shopify Customer fields because source lacks a reliable customer identifier."
"Total","Line: Price (distributed), Odoo Total","Derived","Source has no line prices, so order total was split across unit rows to preserve the order total exactly."
"Currency","Currency, Odoo Currency","Renamed + Copied","Kept as the Shopify order currency."
"Delivery Address","Additional Details, Odoo Delivery Address","Copied to audit/detail","Not mapped to Shopify address fields because the export contains names, not structured addresses."
"Cart Quantity","Line: Quantity (expanded into unit rows), Odoo Cart Quantity","Derived","Used to expand rows so the Shopify file matches the source quantity count."
"Mobile","Phone, Additional Details, Odoo Mobile","Derived + Copied","Normalized to +65 where possible; original value preserved."
"Order Status","Additional Details, Odoo Order Status","Copied to audit/detail","Not mapped to fulfillment because Matrixify requires fulfillment lines for shipped/delivered status."
"Payment Status","Payment: Status, Odoo Payment Status","Fallback","Source values were blank, so generated file uses Matrixify's default paid state for new orders."
"Order ID","Odoo Order ID","Not imported","Source column is blank for all rows."
"Order Lines","Line: Title, Line: Properties, Odoo Order Lines","Parsed + Copied","Parsed into SKU and title; SKU stored in line properties to keep custom line item import safe."
"Order Lines displayed on Website","Odoo Order Lines displayed on Website","Not imported","Kept only as an audit column because it duplicates order lines and is not needed by Matrixify."
"Order Date","Processed At, Odoo Order Date","Renamed + Copied","Used as the Shopify processed date."
"Shipping Address","Odoo Shipping Address","Not imported","Source column is blank for all rows."
"Shipping Amount","Odoo Shipping Amount","Not imported","Source column is blank for all rows, so no Shopify Shipping Line was created."
"Shipping Phone","Odoo Shipping Phone","Not imported","Source column is blank for all rows."
"Shipping Policy","Additional Details, Odoo Shipping Policy","Copied to audit/detail","Preserved as metadata because it has no direct Shopify order field."
"Shipping Status","Additional Details, Odoo Shipping Status","Copied to audit/detail","Not mapped to Shopify fulfillment status because fulfillment lines are required."
"Delivery Date","Odoo Delivery Date","Not imported","Source column is blank for all rows."
"Transactions","Odoo Transactions","Not imported","Source column is blank for all rows, so no transaction rows were created."
